distance_threshold,num_clusters,avg_cluster_size,silhouette,calinski_harabasz,davies_bouldin,product
15,3,138.33333333333334,0.1304168552160263,110.07727813720703,2.397417740651536,"Payday loan, title loan, personal loan, or advance loan"
20,2,207.5,0.23530012369155884,168.9215087890625,1.4153711282893178,"Payday loan, title loan, personal loan, or advance loan"
25,2,207.5,0.23530012369155884,168.9215087890625,1.4153711282893178,"Payday loan, title loan, personal loan, or advance loan"
30,2,207.5,0.23530012369155884,168.9215087890625,1.4153711282893178,"Payday loan, title loan, personal loan, or advance loan"
35,2,207.5,0.23530012369155884,168.9215087890625,1.4153711282893178,"Payday loan, title loan, personal loan, or advance loan"
40,2,207.5,0.23530012369155884,168.9215087890625,1.4153711282893178,"Payday loan, title loan, personal loan, or advance loan"
5,6,6.0,0.2383779138326645,10.444366455078125,1.3594531346644505,Student loan
10,2,18.0,0.34250667691230774,24.50299072265625,1.1153248022333473,Student loan
15,2,18.0,0.34250667691230774,24.50299072265625,1.1153248022333473,Student loan
20,1,36.0,-1.0,0.0,inf,Student loan
25,1,36.0,-1.0,0.0,inf,Student loan
30,1,36.0,-1.0,0.0,inf,Student loan
35,1,36.0,-1.0,0.0,inf,Student loan
40,1,36.0,-1.0,0.0,inf,Student loan
5,30,6.833333333333333,0.06214624270796776,7.39306116104126,2.021129380061992,Debt or credit management
10,5,41.0,0.07767107337713242,22.292388916015625,2.8689493719922856,Debt or credit management
15,3,68.33333333333333,0.07391738146543503,33.3173713684082,2.4724558532941665,Debt or credit management
20,2,102.5,0.16526971757411957,46.00975036621094,2.0567099102039066,Debt or credit management
25,2,102.5,0.16526971757411957,46.00975036621094,2.0567099102039066,Debt or credit management
30,1,205.0,-1.0,0.0,inf,Debt or credit management
35,1,205.0,-1.0,0.0,inf,Debt or credit management
40,1,205.0,-1.0,0.0,inf,Debt or credit management
