Company,Count
"ECMC GROUP, INC.",1183
"Paramount Recovery Systems, L.P.",1182
"Firstsource Business Process Services, LLC",1176
United PanAm Financial Corp.,1169
FirstPoint Collection Resources,1155
"AR Resources, Inc.",1149
CrossCountry Mortgage LLC,1145
"Real Time Group, Inc.",1144
FIRST PORTFOLIO SERVICING INC,1139
Blackhawk Network Holdings Inc.,1134
ALLIANT CREDIT UNION,1110
Google Compare Credit Cards Inc.,1108
"CHARLES SCHWAB CORPORATION, THE",1095
"Adler Wallach & Associates, Inc.",1082
"Paramount GR Holdings, LLC",1076
Klarna AB,1067
"Empowerment Ventures, LLC",1063
"Credit Protection Association, L.P.",1049
"Pinnacle Credit Services, LLC",1046
"URS Holding, LLC",1037
"First Federal Credit Control, Inc.",1023
Zions Debt Holdings,1009
"Advance America, Cash Advance Centers, Inc.",1007
DriveTime,1007
Delbert Services,1006
"Social Finance, Inc.",992
"Carvana Group, LLC",982
"Alliance One, Inc.",973
"AXOS FINANCIAL, INC.",968
"R.M. Galicia, Inc.",965
ZIONS BANCORPORATION,958
"First National Collection Bureau, Inc.",950
American Coradius International LLC,946
"STATE FARM BANK, FSB",930
"BANK OF NEW YORK MELLON CORPORATION, THE",928
21ST MORTGAGE CORP.,927
"LDF Holdings, LLC",925
"Foris DAX, Inc.",917
COMMERCE BANK,911
U.S. BANK NATIONAL ASSOCIATION - SAN FRANCISCO MAIN BRANCH,909
"MONEY SOURCE, INC., THE",909
VYSTAR CREDIT UNION,894
SUNCOAST CREDIT UNION,887
"GLA Collection Company, Inc.",887
"Pressler & Pressler, LLP",887
"Allied Collection Services, Inc. (Nevada)",886
"Helvey & Associates, Inc., Warsaw, IN Branch",886
FIRST NATIONAL BANK OF PENNSYLVANIA,881
FREEDOM FINANCIAL NETWORK,873
"Marlette Funding, LLC",873
"National Enterprise Systems, Inc.",872
"Kimball, Tirey & St. John LLP",866
"JH Portfolio Debt Equities, LLC",861
"NCC Business Services, Inc.",861
ZWICKER & ASSOCIATES,857
The Law Offices of Mitchell D. Bluhm & Associates,854
"RFNA, LP",851
"Weltman, Weinberg & Reis Co., L.P.A.",851
"Choice Recovery, Inc.",846
Home Point Financial Corporation,839
PRESTIGE FINANCIAL SERVICES INC,832
SN SERVICING CORPORATION,832
"National Consumer Telecom & Utilities Exchange, Inc.",830
"Southwest Recovery Services, Inc.",827
BlueChip Financial,823
"Residential Credit Solutions, Inc.",815
Professional Recovery Management,812
"Jon Barry and Associates, Inc.",812
BAM Management US Holdings Inc.,807
"Risecredit, LLC",803
BOEING EMPLOYEES CREDIT UNION,798
Statebridge Company,794
Unifin Inc.,792
"Carter-Young, Inc.",792
First Technology Federal Credit Union,791
"PEOPLE'S UNITED BANK, NATIONAL ASSOCIATION",785
MORGAN STANLEY & CO. LLC,784
ASSOCIATED BANC-CORP,779
FIRSTBANK PUERTO RICO,778
Collection Bureau of America Ltd.,778
Millco Management,778
"BROKER SOLUTIONS, INC.",776
Linebarger Goggan Blair & Sampson LLP,774
Credit Plus Inc,771
BOK FINANCIAL CORP,767
"Remitly, Inc.",762
"McCarthy, Burgess & Wolff, Inc.",761
"Cedars Business Services, LLC",761
"GOLDEN 1 CREDIT UNION, THE",743
"Duvera Billing Services, LLC",742
"Mobiloans, LLC",737
"CARDINAL FINANCIAL COMPANY, LIMITED PARTNERSHIP",732
"Retrieval-Masters Creditors Bureau, Inc., Elmsford, NY Branch",732
"State Collection Service, Inc.",731
"VANDERBILT MORTGAGE & FINANCE, INC",727
"WHEELS FINANCIAL GROUP, LLC.",725
Grant & Weber,721
ADP Inc.,718
LOBEL FINANCIAL CORPORATION,716
GUARANTEED RATE INC.,715
AVANTE,705
Merchants' Credit Guide Company,704
"GreenSky, LLC",698
AMERICA FIRST FEDERAL CREDIT UNION,697
"Aqua Finance, Inc.",696
"USCB, Inc.",693
"Grain Technology, Inc.",690
Southern Management Systems Inc.,690
"Professional Finance Company, Inc.",689
Stellantis Financial Services US Corp.,687
Westcreek Financial,686
Sezzle Inc.,684
Performant Financial Corporation,683
"GVA Holdings, LLC",683
"HOVG, LLC",682
"Harvard Collections, LLC",679
"Bliksum, LLC",676
"OPTUM BANK, INC.",676
"Asset Management Outsourcing, Inc.",675
KBR INC DBA RASH CURTIS & ASSOCIATES,674
Harley Davidson Financial Services Inc,673
"MERCANTILE ADJUSTMENT BUREAU, LLC",668
"Io, Inc.",666
"AMCOL Systems, Inc.",660
VALLEY NATIONAL BANCORP,658
POPULAR BANK,654
"Northstar Location Services, LLC",653
"Financial Credit Service, Inc.",653
"Capital Management Services, LP",644
"Client Services, Inc.",640
"Optimum Outcomes, Inc.",638
Synergetic Communication Inc,637
Diverse Funding Associates LLC,635
"Bounce AI, Inc.",633
"Reliant Capital Solutions, LLC",633
"Nationwide Recovery Systems, Ltd",633
LendingPoint Holdings LLC,633
Avant Credit Corporation,632
First Advantage LNS Inc.,632
"SCA Collections, Inc.",628
"Synerprise Consulting Services, Inc.",619
Riverwalk Financial Corporation,615
Guild Holdings Company,612
UMB FINANCIAL CORPORATION,608
Solar Mosaic LLC,604
"ResidentCollect, Inc.",598
1st Franklin Financial Corporation,597
"CMG Financial Services, Inc.",594
"Collection Bureau of the Hudson Valley, Inc.",590
"Total Card, Inc.",586
"Frontline Asset Strategies, LLC",575
"AmerAssist A/R Solutions, Inc.",574
Village Capital & Investment LLC,574
WLCC,573
"Harpeth Financial Services, LLC",572
"Strategic Alliances, Inc.",564
"Revco Management, LLC",559
"ATG Credit, LLC",559
"Crown Asset Management, LLC, Duluth, GA Branch",554
"Ray Klein, Inc.",554
"FIDELITY CAPITAL HOLDINGS, INC",552
"RS Clark and Associates, Inc.",549
Creditors Bureau Associates,546
Financial Business and Consumer Solutions.,546
"Certegy Holdings, LLC",545
"Reverse Mortgage Solutions, Inc.",545
CHECK INTO CASH INC.,544
"EGL US, LLC",536
"Mortgage Research Center, LLC",535
Focus Holding Company,531
"Asset Recovery Solutions, LLC",529
Sterling Infosystems Inc.,528
Albert Corporation,526
"Blitt and Gaines, P.C.",525
"Sentry Credit, Inc.",523
"Sunbit, Inc.",522
SCHOOLSFIRST FEDERAL CREDIT UNION,520
"Associated Credit Services, Inc.",520
AMERIS BANCORP,519
Prince Parker & Associates,519
MECHANICS BANK,518
"Tesla, Inc.",515
Larry H. Miller Group of Companies,514
Credit Card Receivables Fund Incorporated,513
Genesis Lending,513
"Law Office of Michael J. Scott, PC",512
"Merchants and Medical Credit Corporation, Inc.",509
MOUNTAIN AMERICA FEDERAL CREDIT UNION,509
"Monarch Recovery Holdings, Inc.",508
"SIMM Associates, Inc.",506
"FIRST NIAGARA FINANCIAL GROUP, INC.",505
Kovo,503
SUN LOAN COMPANY INC.,502
"Flagstar Bank, National Association",500
SinglePoint GI,495
HANCOCK WHITNEY BANK,495
"Designed Receivable Solutions, Inc.",494
DIGITAL FEDERAL CREDIT UNION,494
SQUARETWO FINANCIAL CORPORATION,493
"ARS National Services, Inc.",492
"PlusFour, Inc",491
"Duncan Solutions, lnc.",489
"Jim Bottin Enterprises, Inc",484
CNG HOLDINGS INC,482
"January Technologies, Inc",482
PROVIDENT FUNDING ASSOCIATES,480
"California Business Bureau, Inc.",479
"Gurstel Law Firm, P.C.",476
WSFS FINANCIAL CORPORATION,475
Frost-Arnett Company,474
"P&B Capital Group, LLC",473
