product,complaint_what_happened,date_sent_to_company,issue,sub_product,zip_code,tags,complaint_id,timely,consumer_consent_provided,company_response,submitted_via,company,date_received,state,consumer_disputed,company_public_response,sub_issue,id
Bank account or service,"We purchased a purse from a business that described it self as Coach, selling hand bag, in leather. Upon receiving the bag we discovered that it was neither a Coach bag nor was it in leather. We contacted our bank, USAA Federal Savings Bank XXXX XXXX XXXX XXXX XXXX, TX XXXX and submitted the information requested. We had tried to contact the merchant but the XXXX number was not the business and also noticed that the item was shipped from XXXX XXXX. 

With that information in hand, my bank further demanded that we either get Customs to validate it was not a Coach bag or to take it to a Coach Store and have them document that it was indeed not a Coach bag. We contacted Coach and were told they would not provide such document. ( why would they want to get involved ) .So our bank has stated that unless we obtain a letter from Coach, the charge back request would be denied and that we are out the money. 

We believe that such a requirement is burdensome, beyond what should be ask from a customer to supply, and unrealistic for a consumer to obtain.",2016-09-21T12:00:00-05:00,Using a debit or ATM card,Checking account,342XX,Older American,2092672,Yes,Consent provided,Closed with explanation,Web,UNITED SERVICES AUTOMOBILE ASSOCIATION,2016-09-01T12:00:00-05:00,FL,No,Company believes it acted appropriately as authorized by contract or law,,2092672
Mortgage,"I had a 1st mortgage with XXXX XXXX, and a HELOC with USAA. I filed bankruptcy 8 years ago, but still make my monthly payments to both of the above companies. On XX/XX/2019 I received a letter from an attorney representing USAA threatening me with foreclosure unless I paid {$1000.00} in arrears, and started making an increased monthly payment of {$170.00} as I was 6 months in arrears. I checked my bank, and all of my payments to USAA were accepted. I called the number for USAA on the letter, which now calls itself XXXX XXXX. They couldn't find me in their system. I started refinancing my loan immediately. When my loan guy and I conferenced called USAA/XXXX, they finally located my account. They admitted, over a recorded line, that I have not missed any payments. They still moved forward with the foreclosure process, and my house is now listed as going up for auction on XX/XX/2019. I refinanced my home on XX/XX/2019, and USAA/XXXX was wired and accepted the payoff of the HELOC on XX/XX/2019, they are still moving ahead with the foreclosure. I have contacted the attorney representing USAA on XX/XX/2019, and forwarded them copies of the payoff documents and the wire transfers.",2019-04-26T12:00:00-05:00,Trouble during payment process,Home equity loan or line of credit (HELOC),85296,Servicemember,3224046,Yes,Consent provided,Closed with explanation,Web,UNITED SERVICES AUTOMOBILE ASSOCIATION,2019-04-26T12:00:00-05:00,AZ,N/A,Company believes it acted appropriately as authorized by contract or law,,3224046
Checking or savings account,,2018-02-06T12:00:00-05:00,Closing an account,Checking account,28311,,2805063,Yes,N/A,Closed with monetary relief,Phone,UNITED SERVICES AUTOMOBILE ASSOCIATION,2018-02-06T12:00:00-05:00,NC,N/A,Company believes it acted appropriately as authorized by contract or law,Funds not received from closed account,2805063
Checking or savings account,,2024-06-21T12:00:00-05:00,Managing an account,Other banking product or service,16117,,9320468,Yes,Consent not provided,Closed with explanation,Web,UNITED SERVICES AUTOMOBILE ASSOCIATION,2024-06-21T12:00:00-05:00,PA,N/A,Company believes it acted appropriately as authorized by contract or law,Problem accessing account,9320468
Credit card or prepaid card,"i received a statement by mail for {$4100.00} amount owe and on the statement there are no itemized charges at all, i have called many many times asking to give me a statement of charges and they are refusing",2018-08-15T12:00:00-05:00,Problem with a purchase shown on your statement,General-purpose credit card or charge card,90405,,2992880,Yes,Consent provided,Closed with non-monetary relief,Web,UNITED SERVICES AUTOMOBILE ASSOCIATION,2018-08-15T12:00:00-05:00,CA,N/A,Company believes it acted appropriately as authorized by contract or law,Card was charged for something you did not purchase with the card,2992880
Checking or savings account,My Wife and I are XXXX  retirees. USAA Bank closed our account on XX/XX/XXXX for a suspected wire sent to a scammer which was not the case. They refuse to give us our money for 60 days which are monthly Federal retiree deposits and Social Security. It is my understanding that Federal retiree deposits that are made electronically are protected from being locked for the past 2 months. They don't care that we have no money to live on or pay our Mortgage and other bills.,2024-08-06T12:00:00-05:00,Closing an account,Checking account,85259,Older American,9709537,Yes,Consent provided,Closed with non-monetary relief,Web,UNITED SERVICES AUTOMOBILE ASSOCIATION,2024-08-06T12:00:00-05:00,AZ,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Funds not received from closed account,9709537
Bank account or service,,2016-01-05T12:00:00-05:00,Deposits and withdrawals,Checking account,97213,,1722518,Yes,N/A,Closed with explanation,Referral,UNITED SERVICES AUTOMOBILE ASSOCIATION,2015-12-30T12:00:00-05:00,OR,No,Company believes it acted appropriately as authorized by contract or law,,1722518
"Credit reporting, credit repair services, or other personal consumer reports",USAA has been sent documents relating to this for the past 6 months and still chooses to report 2 accounts on my credit on XXXX that arent mine. I want these removed.,2021-09-28T12:00:00-05:00,Incorrect information on your report,Credit reporting,80521,,4760979,Yes,Consent provided,Closed with explanation,Web,UNITED SERVICES AUTOMOBILE ASSOCIATION,2021-09-28T12:00:00-05:00,CO,N/A,Company believes it acted appropriately as authorized by contract or law,Information belongs to someone else,4760979
Mortgage,"My name is XXXX XXXX XXXX, I am a XXXX. In 2022, I was still on XXXX XXXX and contacted USAA by phone regarding a home loan. Later, when I tried to purchase auto insurance from USAA, I discovered that my account had been locked. It turned out that during the phone call, they had made a typo in one letter of my last name. I submitted my identification and all the required information to them, but after XXXX years, the issue still hasnt been resolved. During this time, Ive made countless phone calls and sent letters to USAA, but nothing has worked. I sincerely hope to be able to use USAAs financial services normally as soon as possible.",2025-06-04T12:00:00-05:00,Incorrect information on your report,VA mortgage,23464,Servicemember,13890803,Yes,Consent provided,Closed with explanation,Web,UNITED SERVICES AUTOMOBILE ASSOCIATION,2025-06-04T12:00:00-05:00,VA,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Personal information incorrect,13890803
Checking or savings account,,2019-04-11T12:00:00-05:00,Managing an account,Checking account,19973,,3208925,Yes,N/A,Closed with explanation,Referral,UNITED SERVICES AUTOMOBILE ASSOCIATION,2019-04-11T12:00:00-05:00,DE,N/A,Company believes it acted appropriately as authorized by contract or law,Problem using a debit or ATM card,3208925
